Complete Meal,Ingredients,Quantities
"Red Rice with Cuttlefish Curry, Egg Curry, Shrimp Cutlets","Red rice, Cuttlefish,  Coconut milk,  Spices, Egg,  Coconut milk,  Chillies, Shrimp,  Potatoes,  flour","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 30.0, 50.0, 20.0"
"Red Rice with Elumas Curry, Thalapath Fish Curry, Coriander Sambol","Red rice, Goat,  Coconut milk,  Spices, curry leaves, Thalapath fish,  pepper","40, 50.0, 75.0, 75.0, 2.0, 50.0, 5.0"
"Red Rice with Snake Gourd Curry, Murunga Curry, Devilled Beef","Red rice, Snake gourd,  Coconut milk,  Spices, Drumstick, Beef,  Oil,  chillies","40, 50.0, 50.0, 20.0, 50.0, 80.0, 30.0, 5.0"
"Red Rice with Fish Ambul Thiyal, Collard Greens Curry, Vegetable Balls","Red rice, Fish,  Goraka,  Spices, Collard greens,  Coconut milk,  Chillies, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper","40, 80.0, 10.0, 10.0, 50.0, 25.0, 10.0, 30.0, 50.0, 10.0"
"Red Rice with Bitter Gourd Curry, Egg Curry, Spicy Crab","Red rice, Bitter gourd,  Coconut milk,  Spices, Egg,  Coconut milk,  Chillies, Crab,  Oil","40, 50.0, 25.0, 10.0, 50.0, 25.0, 20.0, 70.0, 20.0"
"Red Rice with Malu Mirisata, Devilled Fish, Bean Curry","Red rice, Fish,  Chili,  curry leaves, Fish, Onion, Beans,  Coconut milk,  Spices","40, 50.0, 15.0, 8.0, 50.0, 20.0, 30.0, 40.0, 30.0"
"Red Rice with Fish Ambul Thiyal, Kiri Hodi, Devilled Beef","Red rice, Fish,  Goraka,  Spices, Coconut milk, Beef,  Oil,  chillies","40, 80.0, 10.0, 10.0, 60.0, 80.0, 30.0, 5.0"
"Red Rice with Beetroot Curry, Cashew Curry, Seer Fish Curry","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Cashew,  Coconut milk,  Chillies, Seer fish","40, 30.0, 20.0, 5.0, 2.0, 50.0, 50.0, 20.0, 50.0"
"Red Rice with Sweet Corn Curry, Gotu Kola Sambol, Radish Sambol","Red rice, Sweet corn,  Coconut milk,  Chillies, Gotu Kola,  Coconut,  Onion, Radish,  pepper","40, 50.0, 25.0, 10.0, 10.0, 45.0, 15.0, 60.0, 5.0"
"Red Rice with Collard Greens Curry, Radish Sambol, Seeni Sambol","Red rice, Collard greens,  Coconut milk,  Chillies, Radish,  Coconut,  pepper, Onion,  Sugar,  chillii","40, 50.0, 25.0, 10.0, 60.0, 30.0, 5.0, 50.0, 5.0, 5.0"
"Red Rice with Elumas Curry, Pineapple Curry, Soya Meat Curry","Red rice, Goat,  Coconut milk,  Spices, curry leaves, Pineapple, Soya meat,  Chillies","40, 50.0, 70.0, 15.0, 2.0, 50.0, 50.0, 10.0"
"Red Rice with Bitter Leaf Curry, Jaffna Crab Curry, Maalu Badun","Red rice, Bitter leaves,  Coconut milk,  Chillies, Crab,  Coconut milk, Fish,  Oil","40, 50.0, 25.0, 20.0, 50.0, 25.0, 90.0, 15.0"
"Red Rice with Cashew Curry, Seeni Sambol, Tender Jackfruit Fry","Red rice, Cashew,  Coconut milk,  Chillies, Onion,  Sugar, Jackfruit,  Oil","40, 50.0, 25.0, 15.0, 50.0, 5.0, 90.0, 20.0"
"Red Rice with Pineapple Curry, Radish Sambol, Simmered Fish Roe","Red rice, Pineapple,  Coconut milk,  Spices, Radish,  pepper, Fish,  Oil,  flour","40, 50.0, 55.0, 10.0, 60.0, 5.0, 70.0, 30.0, 20.0"
"Red Rice with Pineapple Pickle, Coconut Sambol, Maalu Badun","Red rice, Pineapple,  pepper, Coconut,  Chili,  Onion, Fish,  Oil","40, 50.0, 10.0, 50.0, 15.0, 20.0, 90.0, 15.0"
"Red Rice with Snake Gourd Curry, Sesame Seed Sambol, Devilled Beef","Red rice, Snake gourd,  Coconut milk,  Spices, Sesame seed,  Chili,  Onion, Beef,  Oil","40, 50.0, 25.0, 10.0, 50.0, 30.0, 10.0, 80.0, 30.0"
"Red Rice with Bitter Gourd Curry, Leeks Curry, Okra Curry","Red rice, Bitter gourd,  Coconut milk,  Spices, Leeks,  Coconut milk,  Chillies, Okra","40, 50.0, 25.0, 10.0, 50.0, 50.0, 20.0, 50.0"
"Red Rice with Beetroot Curry, Vegetable Balls, Tender Jackfruit Fry","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper, Jackfruit,  Oil","40, 30.0, 20.0, 5.0, 2.0, 30.0, 50.0, 10.0, 90.0, 20.0"
"Red Rice with Fish Cutlets, Ulundu Wade, Carrot curry","Red rice, Fish,  Potatoes,  Chillies, Urad,  flour,  Oil, Carrot,  Coconut milk,  chillies, curry leaves","40, 30.0, 50.0, 10.0, 30.0, 40.0, 20.0, 50.0, 20.0, 10.0, 5.0"
"Red Rice with Pol Sambol, Brinjal Moju, Vegetable Balls","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Eggplant,  Vinegar,  Spices, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper","40, 50.0, 5.0, 10.0, 3.0, 3.0, 30.0, 40.0, 30.0, 30.0, 50.0, 10.0"
"Red Rice with Bean Curry, Bitter Leaf Curry, Green Banana Curry","Red rice, Beans,  Coconut milk,  Spices, Bitter leaves,  Chillies, Green banana,  Coconut milk","40, 30.0, 65.0, 30.0, 50.0, 20.0, 50.0, 25.0"
"Red Rice with Vegetable Balls, Kochchi Sambol, Dhal Vade","Red rice, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper, Green chili,  Coconut, Lentils,  Oil","40, 30.0, 50.0, 10.0, 25.0, 30.0, 50.0, 30.0"
"Red Rice with Pineapple Curry, Bitter Leaf Curry, Cucumber Sambol","Red rice, Pineapple,  Coconut milk,  Spices, Bitter leaves,  Chillies, Cucumber,  pepper","40, 50.0, 80.0, 10.0, 50.0, 10.0, 60.0, 5.0"
"Red Rice with Snake Gourd Curry, Sesame Seed Sambol, Beetroot curry","Red rice, Snake gourd,  Coconut milk,  Spices, Sesame seed,  Chili,  Onion, Beetroot, curry leaves","40, 50.0, 55.0, 10.0, 50.0, 35.0, 10.0, 70.0, 10.0"
"Red Rice with Fish Curry, Batu Moju, Kappa Masala","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Eggplant,  garlic, Cassava","40, 50.0, 45.0, 3.0, 2.0, 70.0, 15.0, 60.0"
"Red Rice with Banana Blossom Curry, Green Pea Curry, Garlic curry","Red rice, Banana blossom,  Coconut milk,  Spices, Green pea,  Coconut milk,  Chillies, Garlic,  curry leaves ","40, 20.0, 30.0, 5.0, 50.0, 25.0, 20.0, 50.0, 5.0"
"Red Rice with Cuttlefish Curry, Carrot curry, Tender Jackfruit Fry","Red rice, Cuttlefish,  Coconut milk,  Spices, Carrot,  chillies, curry leaves, Jackfruit,  Oil","40, 50.0, 45.0, 10.0, 50.0, 10.0, 5.0, 90.0, 20.0"
"Red Rice with Vegetable Balls, Beetroot curry, Indian Fish Curry","Red rice, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper, Beetroot,  Coconut milk,  chillies, curry leaves, Fish","40, 30.0, 50.0, 10.0, 70.0, 60.0, 20.0, 10.0, 60.0"
"Red Rice with Ash Plantain Curry, Gotu Kola Sambol, Mint Sambol","Red rice, Ash plantain,  Coconut milk,  Chillies, Gotu Kola,  Onion, Mint,  Coconut,  pepper","40, 50.0, 40.0, 10.0, 10.0, 15.0, 60.0, 30.0, 5.0"
"Red Rice with Pineapple Curry, Tomato Curry, Indian Fish Curry","Red rice, Pineapple,  Coconut milk,  Spices, Tomato,  Chillies, Fish,  chillies","40, 50.0, 80.0, 10.0, 50.0, 10.0, 60.0, 10.0"
"Red Rice with Simmered Fish Roe, Polos Ambula, Devilled Beef","Red rice, Fish,  Oil,  flour, Jackfruit,  coconut milk,  chillies,  curry leaves, Beef,  Oil","40, 70.0, 30.0, 20.0, 80.0, 30.0, 15.0, 10.0, 80.0, 30.0"
"Red Rice with Pineapple Curry, Ginger Chicken, Pumpkin curry","Red rice, Pineapple,  Coconut milk,  Spices, Chicken,  Ginger,  Chillies, Pumpkin, curry leaves","40, 50.0, 45.0, 10.0, 50.0, 25.0, 20.0, 60.0, 5.0"
"Red Rice with Fenugreek Curry, Coriander Sambol, Carrot curry","Red rice, Fenugreek,  Coconut milk,  Chillies, Coriander,  Coconut,  pepper, Carrot, curry leaves","40, 50.0, 25.0, 20.0, 60.0, 50.0, 5.0, 50.0, 5.0"
"Red Rice with Drumstick Curry, Okra Curry, Sesame Seed Sambol","Red rice, Drumstick,  Coconut milk,  Spices, Okra,  Coconut milk,  Chillies, Sesame seed,  Onion","40, 50.0, 20.0, 5.0, 50.0, 25.0, 35.0, 50.0, 10.0"
"Red Rice with Devilled Fish, Green Pea Curry, Cauliflower Pickle","Red rice, Fish,  Chili,  Curry leaves, Onion, Green pea,  Coconut milk, Cauliflower,  Oil,  Garlic","40, 50.0, 15.0, 5.0, 20.0, 50.0, 25.0, 100.0, 50.0, 20.0"
"Red Rice with Banana Blossom Curry, Coriander Sambol, Jaffna Crab Curry","Red rice, Banana blossom,  Coconut milk,  Spices,  pepper, Crab,  Coconut milk,  Chillies","40, 20.0, 40.0, 65.0, 5.0, 50.0, 25.0, 10.0"
"Red Rice with Mustard Greens Curry, Mango Chutney, Shrimp Cutlets","Red rice, Mustard greens,  Coconut milk,  Chillies, Mango,  Vinegar,  sugar, Shrimp,  Potatoes,  flour","40, 50.0, 25.0, 10.0, 40.0, 10.0, 10.0, 30.0, 50.0, 20.0"
"Red Rice with Bathala Curry, Green Gram Curry, Mustard Greens Curry","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Green gram, Mustard greens,  Coconut milk,  Chillies","40, 50.0, 45.0, 15.0, 3.0, 50.0, 50.0, 25.0, 10.0"
"Red Rice with Sesame Seed Sambol, Radish Sambol, Seeni Sambol","Red rice, Sesame seed,  Chili,  Onion, Radish,  Coconut,  pepper, Onion,  Sugar","40, 50.0, 30.0, 10.0, 60.0, 30.0, 5.0, 50.0, 5.0"
"Red Rice with Collard Greens Curry, Carrot curry, Kiri Hodi","Red rice, Collard greens,  Coconut milk,  Chillies, Carrot,  Coconut milk,  chillies, curry leaves","40, 50.0, 25.0, 10.0, 50.0, 80.0, 10.0, 5.0"
"Red Rice with Malu Mirisata, Fenugreek Curry, Spicy Crab","Red rice, Fish,  Chili,  curry leaves, Fenugreek,  Coconut milk, Crab,  Oil","40, 50.0, 30.0, 3.0, 50.0, 25.0, 70.0, 20.0"
"Red Rice with Potato Curry, Sweet Corn Curry, Carrot curry","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, Sweet corn,  Coconut milk,  Chillies, Carrot","40, 20.0, 50.0, 10.0, 10.0, 2.0, 50.0, 25.0, 20.0, 50.0"
"Red Rice with Devilled Chicken, Gotu Kola Sambol, Garlic curry","Red rice, Chicken,  Chili,  Curry leaves, Onion, Gotu Kola,  Coconut, Garlic","40, 50.0, 15.0, 15.0, 35.0, 10.0, 35.0, 50.0"
"Red Rice with Elumas Curry, Spinach Curry, Kappa Masala","Red rice, Goat,  Coconut milk,  Spices, curry leaves, Spinach,  Coconut milk, Cassava","40, 50.0, 45.0, 35.0, 2.0, 30.0, 40.0, 60.0"
"Red Rice with Chicken Curry, Bitter Gourd Salad, Devilled Beef","Red rice, Chicken,  Coconut milk,  Spices, curry leaves, Bitter gourd,  Coconut, Beef,  Oil,  chillies","40, 50.0, 20.0, 5.0, 3.0, 50.0, 35.0, 80.0, 30.0, 5.0"
"Red Rice with Mustard Greens Curry, Pineapple Pickle, Kappa Masala","Red rice, Mustard greens,  Coconut milk,  Chillies, Pineapple,  pepper, Cassava,  Coconut","40, 50.0, 25.0, 10.0, 50.0, 10.0, 60.0, 25.0"
"Red Rice with Malu Mirisata, Seer Fish Curry, Jackfruit Mallum","Red rice, Fish,  Chili,  curry leaves, Seer fish,  Coconut milk, Jackfruit,  Coconut","40, 50.0, 20.0, 3.0, 50.0, 25.0, 60.0, 30.0"
"Red Rice with Devilled Chicken, Brinjal Moju, Green Banana Curry","Red rice, Chicken,  Chili,  Curry leaves, Onion, Eggplant,  Vinegar,  Spices, Green banana,  Coconut milk","40, 50.0, 15.0, 10.0, 20.0, 30.0, 40.0, 30.0, 50.0, 25.0"
"Red Rice with Murunga Curry, Fish Cutlets, Ulundu Wade","Red rice, Drumstick,  Coconut milk,  Spices, Fish,  Potatoes,  Chillies, Urad,  flour,  Oil","40, 50.0, 25.0, 10.0, 30.0, 50.0, 10.0, 30.0, 40.0, 20.0"
"Red Rice with Cuttlefish Curry, Thalapath Fish Curry, Kiri Hodi","Red rice, Cuttlefish,  Coconut milk,  Spices, Thalapath fish","40, 50.0, 110.0, 20.0, 50.0"
"Red Rice with Fish Curry, Sesame Seed Sambol, Fish Cutlets","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Sesame seed,  Chili,  Onion, Fish,  Potatoes,  Chillies","40, 50.0, 20.0, 3.0, 2.0, 50.0, 25.0, 10.0, 30.0, 50.0, 10.0"
"Red Rice with Devilled Fish, Batu Moju, Devilled Beef","Red rice, Fish,  Chili,  Curry leaves, Onion, Eggplant,  garlic, Beef,  Oil","40, 50.0, 10.0, 5.0, 20.0, 70.0, 15.0, 80.0, 30.0"
"Red Rice with Chicken Curry, Bitter Leaf Curry, Mustard Greens Curry","Red rice, Chicken,  Coconut milk,  Spices, curry leaves, Bitter leaves,  Coconut milk,  Chillies, Mustard greens,  Chillies","40, 50.0, 45.0, 5.0, 3.0, 50.0, 25.0, 10.0, 50.0, 10.0"
"Red Rice with Tapioca Chips, Radish Sambol, Garlic curry","Red rice, Tapioca,  Oil,  Salt, Radish,  Coconut,  pepper, Garlic,  chillies,  curry leaves ","40, 50.0, 20.0, 10.0, 60.0, 50.0, 5.0, 50.0, 10.0, 5.0"
"Red Rice with Cuttlefish Curry, Polos Mallum, Indian Fish Curry","Red rice, Cuttlefish,  Coconut milk,  Spices, Jackfruit,  oil, Fish,  chillies","40, 50.0, 85.0, 10.0, 50.0, 5.0, 60.0, 10.0"
"Red Rice with Potato Curry, Pumpkin Leaves Curry, Garlic curry","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, Pumpkin leaves,  Coconut milk,  Chillies, Garlic","40, 20.0, 50.0, 10.0, 10.0, 2.0, 50.0, 25.0, 20.0, 50.0"
"Red Rice with Pol Sambol, Vegetable Cutlets, Kiri Hodi","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Carrot,  Potatoes,  Chillies","40, 110.0, 5.0, 10.0, 3.0, 3.0, 30.0, 40.0, 10.0"
"Red Rice with Pumpkin Leaves Curry, Pumpkin curry, Cauliflower Pickle","Red rice, Pumpkin leaves,  Coconut milk,  Chillies, Pumpkin,  Coconut milk, curry leaves, Cauliflower,  Oil,  Garlic","40, 50.0, 25.0, 20.0, 60.0, 20.0, 5.0, 100.0, 50.0, 20.0"
"Red Rice with Devilled Fish, Carrot Sambol, Beetroot curry","Red rice, Fish,  Chili,  Curry leaves, Onion, Carrot,  Coconut,  pepper, Beetroot,  Coconut milk","40, 50.0, 15.0, 15.0, 20.0, 50.0, 10.0, 5.0, 70.0, 30.0"
"Red Rice with Beef Curry, Coriander Sambol, Shrimp Cutlets","Red rice, Beef,  Coconut milk,  Chillies, Coriander,  Coconut,  pepper, Shrimp,  Potatoes,  flour","40, 60.0, 25.0, 10.0, 60.0, 30.0, 5.0, 30.0, 50.0, 20.0"
"Red Rice with Snake Gourd Curry, Bitter Gourd Salad, Vegetable Balls","Red rice, Snake gourd,  Coconut milk,  Spices, Bitter gourd, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper","40, 50.0, 60.0, 10.0, 50.0, 30.0, 50.0, 10.0"
"Red Rice with Radish Sambol, Pineapple Pickle, Tender Jackfruit Fry","Red rice, Radish,  Coconut,  pepper, Pineapple,  pepper, Jackfruit,  Oil","40, 60.0, 30.0, 5.0, 50.0, 10.0, 90.0, 20.0"
"Red Rice with Ala Badun, Seer Fish Curry, Kochchi Sambol","Red rice, Potato,  Oil, onion, chilli, Seer fish,  Coconut milk,  Chillies,  Coconut","40, 40.0, 10.0, 30.0, 5.0, 50.0, 25.0, 20.0, 30.0"
"Red Rice with Dhal Curry, Devilled Fish, Banana Blossom Curry","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Fish,  Chili,  Curry leaves, Onion, Banana blossom","40, 80.0, 20.0, 10.0, 5.0, 50.0, 5.0, 5.0, 20.0, 20.0"
"Red Rice with Snake Gourd Curry, Kohila Curry, Mango Chutney","Red rice, Snake gourd,  Coconut milk,  Spices, Kohila,  Coconut milk,  Chillies, Mango,  Vinegar,  sugar","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 40.0, 10.0, 10.0"
"Red Rice with Eggplant Curry, Chickpea Curry, Polos Mallum","Red rice, Eggplant,  Spices,  Coconut milk, Chickpea,  Chillies, Jackfruit,  oil","40, 30.0, 2.0, 65.0, 50.0, 10.0, 50.0, 5.0"
"Red Rice with Cabbage Mallung, Brinjal Moju, Tapioca Chips","Red rice, Cabbage,  Coconut,  Spices, Eggplant,  Vinegar,  Spices, Tapioca,  Oil,  Salt","40, 20.0, 10.0, 5.0, 30.0, 40.0, 30.0, 50.0, 20.0, 10.0"
"Red Rice with Devilled Fish, Okra Curry, Beetroot curry","Red rice, Fish,  Chili,  Curry leaves, Onion, Okra,  Coconut milk, Beetroot,  Coconut milk","40, 50.0, 25.0, 15.0, 20.0, 50.0, 25.0, 70.0, 30.0"
"Red Rice with Chicken Curry, Seer Fish Curry, Cucumber Sambol","Red rice, Chicken,  Coconut milk,  Spices, curry leaves, Seer fish,  Chillies, Cucumber,  Coconut,  pepper","40, 50.0, 45.0, 5.0, 3.0, 50.0, 10.0, 60.0, 30.0, 5.0"
"Red Rice with Spinach Curry, Octopus Curry, Mango Chutney","Red rice, Spinach,  Coconut milk,  Spices, Octopus,  Chillies, Mango,  Vinegar,  sugar","40, 30.0, 65.0, 30.0, 50.0, 10.0, 40.0, 10.0, 10.0"
"Red Rice with Eggplant Curry, Cuttlefish Curry, Ash Plantain Curry","Red rice, Eggplant,  Spices,  Coconut milk, Cuttlefish, Ash plantain,  Chillies","40, 30.0, 12.0, 60.0, 50.0, 50.0, 10.0"
"Red Rice with Bean Curry, Green Gram Curry, Spicy Crab","Red rice, Beans,  Coconut milk,  Spices, Green gram, Crab,  Oil,  chillies","40, 30.0, 65.0, 40.0, 50.0, 70.0, 20.0, 10.0"
"Red Rice with potatoe cheese Balls, Batu Moju, Jaffna Crab Curry","Red rice, cheese,  Potatoes,  pepper, Eggplant,  garlic, Crab,  Coconut milk,  Chillies","40, 30.0, 60.0, 10.0, 70.0, 15.0, 50.0, 25.0, 10.0"
"Red Rice with Eggplant Curry, Chickpea Curry, Carrot Sambol","Red rice, Eggplant,  Spices,  Coconut milk, Chickpea,  Chillies, Carrot,  Coconut,  pepper","40, 30.0, 2.0, 35.0, 50.0, 10.0, 50.0, 10.0, 5.0"
"Red Rice with Cuttlefish Curry, Leeks Curry, Spicy Crab","Red rice, Cuttlefish,  Coconut milk,  Spices, Leeks,  Coconut milk,  Chillies, Crab,  Oil","40, 50.0, 25.0, 10.0, 50.0, 25.0, 20.0, 70.0, 20.0"
"Red Rice with Ash Plantain Curry, Fish Patties, Kappa Masala","Red rice, Ash plantain,  Coconut milk,  Chillies, Fish,  Flour,  Oil, Cassava","40, 50.0, 50.0, 10.0, 40.0, 30.0, 30.0, 60.0"
"Red Rice with Chickpea Curry, Kohila Curry, Sweet Corn Curry","Red rice, Chickpea,  Coconut milk,  Chillies, Kohila,  Coconut milk,  Chillies, Sweet corn,  Coconut milk","40, 50.0, 25.0, 10.0, 50.0, 25.0, 20.0, 50.0, 25.0"
"Red Rice with Fish Curry, Bean Curry, Mint Sambol","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Beans, Mint,  Coconut,  pepper","40, 50.0, 60.0, 33.0, 2.0, 30.0, 60.0, 30.0, 5.0"
"Red Rice with Gotu Kola Sambol, Murunga Curry, Mango Chutney","Red rice, Gotu Kola,  Coconut,  Onion, Drumstick,  Spices, Mango,  Vinegar,  sugar","40, 10.0, 40.0, 15.0, 50.0, 10.0, 40.0, 10.0, 10.0"
"Red Rice with Green Pea Curry, Simmered Fish Roe, Indian Fish Curry","Red rice, Green pea,  Coconut milk,  Chillies, Fish,  Oil,  flour, Fish,  Coconut milk","40, 50.0, 25.0, 20.0, 70.0, 30.0, 20.0, 60.0, 30.0"
"Red Rice with Elumas Curry, Devilled Chicken, Kohila Curry","Red rice, Goat,  Coconut milk,  Spices, curry leaves, Chicken,  Chili, Onion, Kohila,  Coconut milk","40, 50.0, 20.0, 5.0, 12.0, 50.0, 15.0, 20.0, 50.0, 25.0"
"Red Rice with Banana Blossom Curry, Dry Fish Curry, Vegetable Cutlets","Red rice, Banana blossom,  Coconut milk,  Spices, Dry fish,  Coconut milk,  Chillies, Carrot,  Potatoes","40, 20.0, 10.0, 5.0, 50.0, 25.0, 20.0, 30.0, 40.0"
"Red Rice with Papaya Curry, Carrot curry, Simmered Fish Roe","Red rice, Papaya,  Coconut milk,  Spices, Carrot,  chillies, curry leaves, Fish,  Oil,  flour","40, 50.0, 45.0, 10.0, 50.0, 10.0, 5.0, 70.0, 30.0, 20.0"
"Red Rice with Banana Blossom Curry, Mango Chutney, Maalu Badun","Red rice, Banana blossom,  Coconut milk,  Spices, Mango,  Vinegar,  sugar, Fish,  Oil","40, 20.0, 10.0, 5.0, 40.0, 10.0, 10.0, 90.0, 15.0"
"Red Rice with Parippu, Fish Cutlets, Dhal Vade","Red rice, Dhal,  Coconut milk, Termeric powder, Fish,  Potatoes,  Chillies,  chillie,  Oil","40, 60.0, 10.0, 5.0, 30.0, 50.0, 10.0, 15.0, 30.0"
"Red Rice with Parippu, Pumpkin curry, Mango Chutney","Red rice, Dhal,  Coconut milk, Termeric powder, Pumpkin,  chillies, curry leaves, Mango,  Vinegar,  sugar","40, 10.0, 30.0, 5.0, 60.0, 10.0, 5.0, 40.0, 10.0, 10.0"
"Red Rice with Bitter Gourd Salad, Kohila Curry, Egg Curry","Red rice, Bitter gourd,  Coconut, Kohila,  Coconut milk,  Chillies, Egg","40, 50.0, 35.0, 50.0, 50.0, 20.0, 50.0"
"Red Rice with Pol Sambol, Gotu Kola Sambol, Bitter Gourd Salad","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Gotu Kola, Bitter gourd","40, 100.0, 5.0, 25.0, 3.0, 3.0, 10.0, 50.0"
"Red Rice with Banana Blossom Curry, Fish Curry, Dhal Vade","Red rice, Banana blossom,  Coconut milk,  Spices, Fish, curry leaves, Lentils,  chillie,  Oil","40, 20.0, 30.0, 8.0, 50.0, 2.0, 50.0, 15.0, 30.0"
"Red Rice with Bean Curry, Ash Plantain Curry, Kochchi Sambol","Red rice, Beans,  Coconut milk,  Spices, Ash plantain,  Chillies, Green chili","40, 30.0, 95.0, 30.0, 50.0, 10.0, 10.0"
"Red Rice with Gotu Kola Sambol, Okra Curry, potatoe cheese Balls","Red rice, Gotu Kola,  Coconut,  Onion, Okra,  Coconut milk,  Chillies, cheese,  Potatoes,  pepper","40, 10.0, 15.0, 15.0, 50.0, 25.0, 10.0, 30.0, 60.0, 10.0"
"Red Rice with Pineapple Curry, Green Banana Curry, Cauliflower Pickle","Red rice, Pineapple,  Coconut milk,  Spices, Green banana,  Coconut milk,  Chillies, Cauliflower,  Oil,  Garlic","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 100.0, 50.0, 20.0"
"Red Rice with Fish Curry, Jaffna Crab Curry, Polos Mallum","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Crab,  Coconut milk,  Chillies, Jackfruit,  oil","40, 50.0, 50.0, 3.0, 2.0, 50.0, 25.0, 10.0, 50.0, 5.0"
"Red Rice with Pumpkin Leaves Curry, Coriander Sambol, Devilled Beef","Red rice, Pumpkin leaves,  Coconut milk,  Chillies, Coriander,  Coconut,  pepper, Beef,  Oil","40, 50.0, 25.0, 15.0, 60.0, 30.0, 5.0, 80.0, 30.0"
"Red Rice with Potato Curry, Cuttlefish Curry, Batu Moju","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, Cuttlefish, Eggplant,  garlic","40, 20.0, 55.0, 20.0, 5.0, 2.0, 50.0, 70.0, 15.0"
"Red Rice with Snake Gourd Curry, Bitter Leaf Curry, Egg Curry","Red rice, Snake gourd,  Coconut milk,  Spices, Bitter leaves,  Chillies, Egg,  Coconut milk","40, 50.0, 50.0, 10.0, 50.0, 20.0, 50.0, 25.0"
"Red Rice with Snake Gourd Curry, Beef Curry, Carrot Sambol","Red rice, Snake gourd,  Coconut milk,  Spices, Beef,  Coconut milk,  Chillies, Carrot,  pepper","40, 50.0, 25.0, 10.0, 60.0, 35.0, 10.0, 50.0, 5.0"
"Red Rice with potatoe cheese Balls, Gotu Kola Sambol, Tropical Salad","Red rice, cheese,  Potatoes,  pepper, Gotu Kola,  Coconut,  Onion, Mango,  Apple,  Carrot,  Pineapple,  Cucumber","40, 30.0, 60.0, 10.0, 10.0, 15.0, 15.0, 30.0, 20.0, 30.0, 20.0, 30.0"
"Red Rice with Murukku, Sinhala Achcharu, Chickpea Salad","Red rice, flour,  Chillies, Carrot,  onion,  green chillies,  Vinegar, Chickpeas,  Cabbage","40, 50.0, 20.0, 60.0, 35.0, 15.0, 10.0, 60.0, 30.0"
"Red Rice with Eggplant Curry, Green Banana Curry, Sinhala Achcharu","Red rice, Eggplant,  Spices,  Coconut milk, Green banana,  Coconut milk,  Chillies, Carrot,  onion,  Vinegar","40, 30.0, 2.0, 10.0, 50.0, 25.0, 25.0, 30.0, 35.0, 10.0"
"Red Rice with Carrot Curry, Tomato Curry, Capsicum Curry","Red rice, Carrot,  Coconut milk,  Spices, Tomato,  Chillies, Capsicum,  Coconut milk,  Chillies","40, 50.0, 45.0, 5.0, 50.0, 10.0, 50.0, 25.0, 10.0"
"Red Rice with Fish Curry, Ginger Chicken, Garlic curry","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Chicken,  Ginger,  Chillies, Garlic","40, 50.0, 40.0, 3.0, 7.0, 50.0, 25.0, 20.0, 50.0"
"Red Rice with Snake Gourd Curry, Spicy Crab, Chickpea Salad","Red rice, Snake gourd,  Coconut milk,  Spices, Crab,  Oil,  chillies, Chickpeas,  Carrot,  Cabbage","40, 50.0, 25.0, 10.0, 70.0, 20.0, 10.0, 60.0, 30.0, 30.0"
"Red Rice with Devilled Chicken, Beef Curry, Kochchi Sambol","Red rice, Chicken,  Chili,  Curry leaves, Onion, Beef,  Coconut milk,  Coconut","40, 50.0, 25.0, 10.0, 20.0, 60.0, 25.0, 30.0"
"Red Rice with Sweet Corn Curry, Ginger Chicken, Pumpkin curry","Red rice, Sweet corn,  Coconut milk,  Chillies, Chicken,  Ginger, Pumpkin,  Coconut milk, curry leaves","40, 50.0, 25.0, 30.0, 50.0, 25.0, 60.0, 20.0, 5.0"
"Red Rice with Dhal Curry, Capsicum Curry, Radish Sambol","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Capsicum,  Coconut milk,  Chillies, Radish,  pepper","40, 80.0, 40.0, 5.0, 5.0, 50.0, 25.0, 10.0, 60.0, 5.0"
"Red Rice with Ulundu Wade, Carrot curry, Beetroot curry","Red rice, Urad,  flour,  Oil, Carrot,  Coconut milk,  chillies, curry leaves, Beetroot","40, 30.0, 40.0, 20.0, 50.0, 50.0, 20.0, 15.0, 70.0"
